(Do Not Modify) Language,(Do Not Modify) Row Checksum,(Do Not Modify) Modified On,IETF Tag,ISO 639-3,Name,English Name,Home Country,Dependent Languages,Region,Gateway Flag,Gateway Language,Scripture Start Date,Status,Projects,Translation Data Last Upload Date
d5d825cf-4edf-e611-8100-c4346bac7abc,/Cgb3pfilDZxBwiOcTd83WJp5zkiMwsPv7oyYa3WKMmRwRVBhIh9D/G2eh1fytgIIG3EE1uW/iuipenVRI6Ayg==,5/22/20 20:35,am,amh,Amharic,Amharic,Ethiopia,83,Africa,Yes,English,5/9/16,Active,10,6/26/19
80d825cf-4edf-e611-8100-c4346bac7abc,sRZ/0jJZbV4TT2SEjKgYxenEh7nXsh6Q48JfxIYnvDxXjUiaFiE3T9UdMjX5GNuCaOELjs9AJVYxcwRCVPXKaw==,7/29/20 19:16,ar,ara,Arabic,Arabic,Algeria,315,Eurasia,Yes,French,,Active,1,9/12/17
c1d825cf-4edf-e611-8100-c4346bac7abc,baVoRSjsAWJ3HlByzbf5UraUQLQIdeKqndfYXchDHEl4vM3u3F8/7xoEdPpeaG2OgfX+Hms9y0s/jlepP5kI9Q==,7/29/20 19:16,ar-x-dcv,,Arabic - Dominant Culture Variant,Arabic - Dominant Culture Variant,Saudi Arabia,0,Eurasia,Yes,,,Active,0,
82d825cf-4edf-e611-8100-c4346bac7abc,IEDKGmuJ6vqa/UIYWYg5VCbrpvyN++YiCFMARJTgEe8lYHEuMdLyUBc6VbdMx6F47YCtWMDcPau5nCy25pNdTA==,7/29/20 19:17,as,asm,Assamese,Assamese,India,37,South Asia,Yes,,1/11/16,Active,8,
86d825cf-4edf-e611-8100-c4346bac7abc,FaKHfJ0G2PwNQOOM4G4KhcBB2ZOfe+S5jSPEtOW0r8JBe2MzXLZVA3x47KniPjwc39YbGvztOp1a6aOvmTsI9w==,7/29/20 19:17,bn,ben,"Bengali, Bangla","Bengali, Bangla",Bangladesh,31,South Asia,Yes,,1/11/16,Active,10,
84d825cf-4edf-e611-8100-c4346bac7abc,j8WYbPIPfIXodItXe24nG2A3p6gZz8DFnaLBDHsxftepXI5pfnzwKuVc+DEwtlRUKWxNMuxLiTvhNF7+m5NIAQ==,2/13/20 20:44,bi,bis,Bislama,Bislama,Vanuatu,21,Pacific,Yes,,,Active,2,
dbd825cf-4edf-e611-8100-c4346bac7abc,pBQSZW972xX0FjUUcRl/Lr874b3hfgcFXVSItwLZIZ4UygR9u2dhTDxtrrqCawml6C6cb8eWiu711rbgW1iqfA==,4/23/20 19:16,pt-br,,Brazilian Portuguese,Brazilian Portuguese,Brazil,3,Americas,Yes,,5/6/16,Active,7,2/4/20
a4d825cf-4edf-e611-8100-c4346bac7abc,Uv5Th/WJdajxvxXkochkg+OiNZbmcGVm93kauTyA7jc1HTiNquCJB3DdPVSwbyr6sL6r462egDW5zuiV345lLw==,4/27/20 22:35,my,mya,Burmese,Burmese,Myanmar,108,Asia,Yes,,3/12/18,Active,5,3/22/18
d7d825cf-4edf-e611-8100-c4346bac7abc,lxBjn+DTCCg0OZmoLwEhqXhu2qaRSwSM4ZVzXvt2YfBQynBoH1QbIVS5U5Yqr1iMVLBAFBeq4bFv3EAJZtRx8g==,2/13/20 20:45,ceb,ceb,Cebuano,Cebuano,Philippines,64,Asia,Yes,English,4/18/16,Active,2,3/12/18
bfd825cf-4edf-e611-8100-c4346bac7abc,oNYsZhmV75E4szGF15Uqrhpwmrnwku5rNMoQUbup646/6B656bqw8w4bJ800mKp1Bfzdgba5TCLuPj6/zFr0Nw==,3/16/20 17:01,zh,zho,Chinese,Chinese,China,299,Asia,Yes,,7/25/16,Active,4,11/16/17
